LinearVel.X,LinearVel.Y,LinearAcc.X,LinearAcc.Y,AngularVel.Z,AngularAcc.Z,VelMulDelta.X,VelMulDelta.Y, Angvelmuldelta.Z,GTruthPosDiff.X,GTruthPosDiff.Y,GTruthRotDiff.Z
-18.895902,14.919917,57.864328,75.053652,-3.926991,-0.000000,-1.889590,1.491992,-0.392699,-144.615833,178.599948,-0.392699,
-11.108534,19.510069,77.873679,45.901517,-3.926991,0.000000,-1.110853,1.951007,-0.392699,-66.346935,206.605158,-0.065450,
-3.969090,21.229003,71.394435,17.189340,-0.654498,32.724923,-0.396909,2.122900,-0.065450,-15.149810,217.429728,0.000000,
-0.092973,22.073867,38.761169,8.448633,0.000000,6.544985,-0.009297,2.207387,0.000000,12.435355,225.198814,0.000000,
2.026913,22.843861,21.198861,7.699945,0.000000,0.000000,0.202691,2.284386,0.000000,27.825849,233.238837,0.000000,
3.232543,23.676114,12.056299,8.322530,0.000000,0.000000,0.323254,2.367611,0.000000,36.830545,241.930404,0.000000,
3.957425,24.568874,7.248824,8.927602,0.000000,0.000000,0.395743,2.456887,0.000000,42.467251,251.105668,0.000000,
4.428202,25.501183,4.707768,9.323086,0.000000,0.000000,0.442820,2.550118,0.000000,46.320585,260.572652,0.000000,
4.764308,26.456499,3.361057,9.553165,0.000000,0.000000,0.476431,2.645650,0.000000,49.064586,270.234926,0.026180,
4.955883,27.437674,1.915751,9.811744,0.261799,2.617994,0.495588,2.743767,0.026180,47.584534,277.314915,0.052360,
4.565550,27.197245,-3.903329,-2.404286,0.523599,2.617994,0.456555,2.719725,0.052360,42.138633,258.854083,0.052360,
3.790018,25.708853,-7.755324,-14.883923,0.523599,0.000000,0.379002,2.570885,0.052360,30.196838,263.617861,0.017453,
2.536994,26.815502,-12.530239,11.066492,0.174533,-3.490659,0.253699,2.681550,0.017453,20.951712,274.270798,0.000000,
1.843178,27.858309,-6.938152,10.428065,0.000000,-1.745329,0.184318,2.785831,0.000000,16.182090,284.536299,0.000000,
1.491330,28.876381,-3.518487,10.180723,0.000000,0.000000,0.149133,2.887638,0.000000,13.816849,294.652807,0.000000,
1.321332,29.884492,-1.699981,10.081110,0.000000,0.000000,0.132133,2.988449,0.000000,12.729925,304.704844,0.000000,
1.248008,30.888172,-0.733239,10.036799,0.000000,0.000000,0.124801,3.088817,0.000000,12.322525,314.727218,0.000000,
1.226069,31.889731,-0.219392,10.015589,0.000000,0.000000,0.122607,3.188973,0.000000,12.276344,324.736434,0.000000,
1.231439,32.890229,0.053708,10.004985,0.000000,0.000000,0.123144,3.289023,0.000000,10.804406,334.772987,0.052360,
0.847472,33.897611,-3.839670,10.073822,0.523599,5.235988,0.084747,3.389761,0.052360,2.587929,344.764548,0.052360,
-0.234787,34.882170,-10.822590,9.845585,0.523599,0.000000,-0.023479,3.488217,0.052360,-9.914530,354.308250,-0.001454,
-1.513888,35.817345,-12.791015,9.351753,-0.014544,-5.381430,-0.151389,3.581735,-0.001454,-25.411393,362.897119,0.244347,
-3.854177,36.514763,-23.402893,6.974174,2.443466,24.580097,-0.385418,3.651476,0.244347,-72.250436,361.331994,0.349067,
-10.122710,35.468979,-62.685323,-10.457841,3.490670,10.472047,-1.012271,3.546898,0.349067,-150.564634,330.204305,0.392699,
